204200835771678721	#terremoto Finale Emilia crollo  di un'abitazione dopo  l'ultima scossa geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography quality ultimate comune Finale_Emilia Historical_region Emilia_(region_of_Italy) happening crash building house home Structure residential_building reflex shock	3	2	0	71	11	1	1
204218964706992130	3000 sfollati e 6 morti. Il triste bilancio del terremoto in Emilia #terremoto refugee displaced_person legal_entity change death biology faith being property process_(computing) event_(philosophy) philosophy sad record balance_sheet document document document document process_(computing) geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2012_Northern_Italy_earthquakes Historical_region Emilia_(region_of_Italy) geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	5	1	0	78	13	1	1
204219779253407744	PERICOLO!! #terremoto #xrum CROLLO SOFFITTO http://t.co/S35f1VOK danger risk event_(philosophy) management geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography mass_wasting Slump_(geology) upper_surface ceiling Bauteil_(Technik)	4	2	0	64	9	2	1
204205843057618945	#Terremoto: vigile del fuoco investito dal crollo durante l'umtima scossa geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography police_matron meter_maid authority police_officer defender firefighter profession laborer rescuer combustion fire oxidation expend invest mass_wasting Slump_(geology) reflex shock	5	2	0	73	11	1	1
1474398646	Terremoto: nuovo bilancio,235 morti: Sono 235 le vittime del terremoto che ha colpito l'Abruzzo, stando a un nuo.. http://tinyurl.com/cf5dbh geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography new record balance_sheet document document document document process_(computing) change death biology faith being property process_(computing) event_(philosophy) philosophy unfortunate victim geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography touch hit Italian_region Abruzzi_e_Molise Geographical_feature hold_out stand	6	3	1	140	24	0	1
462840409815666688	Siete nel mio cuore...alluvione nelle Marche: 2 morti a #Senigallia. In migliaia senza corrente, decine gli sfollati http://t.co/F0PuYKxyO1 internal_organ heart organ terminology Italian_region Marche change death biology faith being property process_(computing) event_(philosophy) philosophy comune Senigallia town large_integer 1000 integer number Hyperperfect_number electrical_phenomenon electric_current electricity scalar extensive_physical_property large_indefinite_amount oodles refugee displaced_person legal_entity	10	2	0	139	22	1	1
1473967043	Terremoto: costruzioni antisismiche? Crollate: Il nuovo Ospedale, la Prefettura, la Casa dello Studente, sono s.. http://tinyurl.com/dnjn7k geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography creating_from_raw_materials construction event_(probability_theory) group_event antiseismic new health_facility hospital institution health_facility administrative_division prefecture jurisdiction building house home Structure residential_building dormitory hall_of_residence assimilator student enrollee person	7	2	0	139	19	0	1
1462380492	Ultim'ora, Terremoto Abruzzo: almeno 70 morti, paesi distrutti, molti dispersi tra le macerie. geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography Italian_region Abruzzi_e_Molise Geographical_feature at_any_rate change death biology faith being property process_(computing) event_(philosophy) philosophy administrative_division country region Administrative_divisions_of_Germany Federal_republic Federated_state geography laggard straggler scrap debris Garbage_(band)	6	1	0	94	14	0	1
1462136062	[ITALIAN NEWS] TERREMOTO ABRUZZO/ Maroni: oltre 50 i morti: Lo afferma il ministro dell'Interno, i.. http://tinyurl.com/clnl9r geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography Italian_region Abruzzi_e_Molise Geographical_feature change death biology faith being property process_(computing) event_(philosophy) philosophy assert allege executive minister politician physician houseman	7	1	2	126	20	0	1
462604534226100224	Un anziano morto per infarto dopo bomba d'acqua a #Senigallia #Marche Ambulanza bloccata e il medico l'ha raggiunto col verricello ma tardi aged dead pathology infarction friedcake doughnut dessert bakery_product food confectionery liquid water binary_compound material ingredient chemical_compound chemical_substance comune Senigallia town Italian_region Marche vehicle ambulance automobile medical_man physician human professional profession arrive attain lifting_device windlass simple_machine peripheral late	8	4	0	139	24	2	1
204122652871372800	il terremoto ha fatto più danni dei tedeschi geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography turn get more compensation indemnity total law West_Germanic German language language dialect phylum	3	1	0	45	8	0	1
204047087149645824	Venuto giù un pezzo di duomo #terremoto #mirandola down Villa_San_Giovanni Pezzo_(Villa_San_Giovanni) dome Duomo_(geologia) geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	2	4	0	51	8	2	1
1476060996	Terremoto Abruzzo: lo sport piange le sue vittime: Fonte: Il TempoMentre e' ancora disperso il giovane pilone de.. http://tinyurl.com/cetlwt geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography Italian_region Abruzzi_e_Molise Geographical_feature recreation athletics exercise individual_sport Olympic_sport activity type_of_sport System express_emotion cry unfortunate victim inspiration seed laggard straggler young pylon_(architecture)	7	2	0	140	22	0	1
204112782684196864	5 morti per il #terremoto ! change death biology faith being property process_(computing) event_(philosophy) philosophy geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	1	2	0	27	5	1	1
204064182176448512	#terremoto #mantova  segnalati danni a Moglia geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography change damage comune Moglia	2	4	0	45	6	2	1
1461671669	Terremoti - primo bilancio, tredici persone morte: Le vittime del terremoto che ha colpito la zona di L'Aquila s.. http://tinyurl.com/cmejdy geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography plan budget finance sales being person causal_agency subjectivism subject dead unfortunate victim geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography injure shoot anatomical_structure zona bird_of_prey eagle Common_name name	7	2	1	140	23	0	1
1476144211	Terremoto - dispersi ancora tra i 20 e i 30: All'Aquila e dintorni ci sono ancora tra le venti e le trenta perso.. http://tinyurl.com/dzapta geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography laggard straggler bird_of_prey eagle Common_name name section neighbourhood Ortsteil settlement human_geographic_territorial_entity community weather wind atmosphere Earth climate nature motion flow rapper	3	3	1	140	27	0	1
204133056481730561	#emilia 4 morti e 50 feriti per il terremoto, è sconvolgente ragazzi :( asterid_dicot_genus Emilia genus taxon change death biology faith being property process_(computing) event_(philosophy) philosophy people wounded geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography disconcerting male boy male person child human	4	3	0	72	11	1	1
520490947511980032	Il Bisagno esplode, notte di terrore e morte a #Genova. Abitanti in fuga ai piani alti delle casehttp://t.co/9oYa45kpoq #AlluvioneGenova torrent_stream Bisagno river period night drama night_terror sleep_disorder person dweller species running_away escape wrestling percussion_instrument piano stringed_instrument keyboard_instrument musical_instrument Music_venue tall	10	0	0	136	22	2	1
204212101156315136	Insomma, anche se si tratta di un #terremoto anche questi sono morti sul lavoro. even_if interact do_by geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography death Caduti_del_lavoro activity job labour Expressão_idiomática hypothesis	2	3	2	80	14	1	1
1475561776	Terremoto:Vito, 250 Vittime (17 Da Identificare),11 Dispersi,1179 Feriti http://tinyurl.com/cejae4 geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography neighbourhood Vito_(quartiere_di_Reggio_Calabria) unfortunate victim laggard straggler people wounded	7	0	0	98	15	0	1
204132295769206784	Ci mancava il terremoto! Speriamo che i morti rimangano solo 5! miss geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography change death biology faith being property process_(computing) event_(philosophy) philosophy be remain	2	3	1	63	11	0	1
204058981776363521	2 feriti a Sant'Agostino.. #terremoto.. :(( people wounded commune_of_Romania Șanț theologian Augustine_of_Hippo Father saint Doctor_of_the_Church human episcopate geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	2	1	0	43	6	1	1
204260659058327553	Qui a Poviglio il #terremoto si e fatto sentire qualche danno e tanta paura geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography turn get perceive hear human Danno rapper emotion fear	4	3	1	75	14	1	1
520628783276380160	#AlluvioneGenova Le auto alluvionate vengono depositate in piazzale Kennedy fotografate e pubblicate su: http://t.co/8Mkt39WKfS motor_vehicle automobile be cost keep store forecourt family Kennedy_family human governance Politics_of_the_United_States enter photograph list post	4	5	0	127	17	1	1
204090792137064448	Ci mancava solo il terremoto! D: 4 Morti! :( turn perish geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography change death biology faith being property process_(computing) event_(philosophy) philosophy	4	1	1	44	8	0	1
204058816403353603	#terremotoBO #Terremoto conferma un morto a Bondeno e 2 feriti a S Agostino geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography approve confirm change death biology faith being property process_(computing) event_(philosophy) philosophy Bondeno_(Gonzaga) people wounded theologian Augustine_of_Hippo Father saint Doctor_of_the_Church human episcopate	7	2	0	75	13	2	1
1468226537	Terremoto Abruzzo - sale il bilancio, 179 morti e 34 dispersi: E' salito a 179 morti, di cui 40 ancora da identi.. http://tinyurl.com/cq3ru7 geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography Italian_region Abruzzi_e_Molise Geographical_feature move rise record balance_sheet document document document document process_(computing) change death biology faith being property process_(computing) event_(philosophy) philosophy laggard straggler change death biology faith being property process_(computing) event_(philosophy) philosophy	8	2	1	140	25	0	1
204164747929722881	#Terremoto in Emilia, danni principali nelle provincie di Modena e Ferrara. geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2012_Northern_Italy_earthquakes Historical_region Emilia_(region_of_Italy) change damage main administrative_division province human_geographic_territorial_entity force	7	1	0	75	11	1	1
1475247782	Terremoto in Abruzzo, morti altri 4 ragazzi: il numero delle ...: Fonte: Gazzetta di ParmaSale ancora il numero .. http://tinyurl.com/dkwz9d geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2009_L'Aquila_earthquake Italian_region Abruzzi_e_Molise Geographical_feature dead male boy male person child human definite_quantity number Mathematical_object administrative_body authority organization room area newspaper gazette Newspaper_of_record Government_gazette definite_quantity number Mathematical_object	7	1	0	140	21	0	1
204058739081347074	+++++BONDENO, RITROVATO MORTO IL DISPERSO+++++ fonte Rainews #TERREMOTO #bondeno Bondeno_(Gonzaga) creation innovation people dead laggard straggler inspiration seed geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	8	1	0	80	9	2	1
204062413719482369	#terremoto un morto nel ferrarese. .. geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography people dead	2	1	0	37	5	1	1
462641277721649152	“@SkyTG24: #UltimOra Nubifragio nelle #Marche, sala a due il bilancio dei morti a #Senigallia http://t.co/zF1ue24tmr” un disastro rain cloudburst measure Italian_region Marche comune Calolziocorte financial_statement change death biology faith being property process_(computing) event_(philosophy) philosophy comune Senigallia town misfortune disaster event_(philosophy) risk	10	3	0	133	20	3	1
462876119239520256	#PNEWS: #Maltempo.Fango e bombe d’acqua causano alluvione nelle #Marche. Due morti a #Senigallia. Stato ancora di allerta. arms bomb explosive_device energy low_explosive ammunition weapon Explosive_weapon create cause sediment alluvion Legal_term soil name brand symbol Marketing_strategy change death biology faith being property process_(computing) event_(philosophy) philosophy comune Senigallia town preparation alert	11	4	0	124	19	4	1
1461540166	Fortissima scossa di terremoto nella notte, con epicentro vicino ad Arischia.  Crolli e seri danni all'Aquila e provincia. reflex shock geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography period night geographic_point epicenter close Frazione Arischia happening crash serious change damage bird_of_prey eagle Common_name name province Roman_province tetrarchy	8	1	0	122	19	0	1
1468454852	immagini sempre più strazianti dall'abruzzo....centinaia di morti e paesi spazzati via in 30 secondi di scossa representation image Artifact_(error) increasingly no_longer heart-breaking large_integer 100 square_number composite_number integer change death biology faith being property process_(computing) event_(philosophy) philosophy administrative_division country region Administrative_divisions_of_Germany Federal_republic Federated_state geography unit_of_time second unit SI_base_unit reflex shock	7	0	0	111	18	0	1
462638825064648705	autostrada incompiuta avrà causato effetto diga aumentando i danni nelle zone colpite #marche #senigallia #alluvione road highway create cause phenomenon outcome move deduction change_magnitude increase change damage region area physical_quantity definite_integral quantity touch hit geological_phenomenon flood hydrology rain natural_disaster river water phenomenon	6	7	0	117	15	3	1
520480092750098432	L'allerta meteo si da sempre dopo che c'è stato un morto giusto?Che vergogna!#AlluvioneGenova preparation alert meteo hold_out stand change death biology faith being property process_(computing) event_(philosophy) philosophy	2	3	1	94	16	0	1
463703758757957632	#Senigallia 3 gazebo nelle zone colpite dalle ore 8 alle ore 20 x aiuto compilazione moduli danni #allertameteoMAR building gazebo Structure region area physical_quantity definite_integral quantity injure shoot unit_of_time hour unit unit_of_time hour unit activity assistance aggregation compilation Abelian_group module_(mathematics) additive_group change damage	10	2	0	114	18	2	1
204085581108617217	Cazzo il terremoto?3 morti. penis dick word noun insult language geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography change death biology faith being property process_(computing) event_(philosophy) philosophy	2	1	0	27	5	0	1
204137640365268992	#Terremoto Rainews: crollate completamente due torri di Finale Emilia. geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography completely tower high-rise building Structure chess endgame end hypothesis comune Finale_Emilia Historical_region Emilia_(region_of_Italy)	5	2	0	70	9	1	1
1461911993	Terremoto in Abruzzo: diverse vittime e danni ingenti http://snipurl.com/fbtjp geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2009_L'Aquila_earthquake Italian_region Abruzzi_e_Molise Geographical_feature unfortunate victim change damage considerable	4	0	0	78	12	0	1
204100705563320320	"@emanuelefiano: #terremoto in provincia di Ferrara 4 morti" geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography administrative_division province human_geographic_territorial_entity force province_of_Italy Ferrara change death biology faith being property process_(computing) event_(philosophy) philosophy	3	2	0	60	8	1	1
204143612370485248	6 morti e 50 feriti  #terremoto change death biology faith being property process_(computing) event_(philosophy) philosophy geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	2	1	0	31	6	1	1
1476102397	Terremoto - dispersi ancora tra i 20 e i 30 http://tinyurl.com/cugkah geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography laggard straggler	3	0	0	69	13	0	1
204106192073666560	_Ricordiamoci che le vittime del #terremoto sono anche e soprattutto morti sul lavoro. unfortunate victim geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography particularly dead death Caduti_del_lavoro activity job labour Expressão_idiomática hypothesis	2	4	0	86	13	1	1
204111188102098944	RIP ai morti con il #terremoto, a me è bastato già quello dell'Aquila... #Pescara change death biology faith being property process_(computing) event_(philosophy) philosophy geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography already bird_of_prey eagle Common_name name river Aterno-Pescara drainage_system_(geomorphology)	3	3	2	83	14	2	1
204048769971523585	Gravi danni a finale #terremoto change damage quality ultimate geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	2	1	0	31	5	1	1
1490935457	Link: L'Abruzzo, il terremoto, i morti veri e quelli “taroccati”. Dal Giornale... http://tumblr.com/xie1khcny link hyperlink address Italian_region Abruzzi_e_Molise Geographical_feature geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography change death biology faith being property process_(computing) event_(philosophy) philosophy press newspaper mass_media periodical publication	6	1	1	113	17	0	1
204102595399262208	Alcune foto dei danni causati dal #terremoto fanno impressione. #sapevatelo representation photograph work_of_art image change damage geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography execute idea belief	3	4	0	75	10	2	1
462619161512775680	Alluvione nelle #Marche, un morto: situazione critica a #Senigallia http://t.co/QgMKZAO9Wz sediment alluvion Legal_term soil Italian_region Marche people dead state state_of_affairs concept comment criticize comune Senigallia town	7	2	0	90	13	2	1
204138721447120897	#Terremoto : ho appena letto. Quant'orrore, quanta morte in questi giorni! geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography just predict read fear horror change death biology faith being property process_(computing) event_(philosophy) philosophy unit_of_time day International_System_of_Units	3	2	1	74	11	1	1
204132734434680832	#Terremoto - trovato sotto macerie corpo operaio disperso a Sant'Agostino geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography encounter scrap debris Garbage_(band) natural_object body object laggard straggler commune_of_Romania Șanț theologian Augustine_of_Hippo Father saint Doctor_of_the_Church human episcopate	4	3	0	73	10	1	1
204074683908366336	Pare esserci un quarto morto in un'abitazione #terremoto Yugoslavian_monetary_unit para currency exist change death biology faith being property process_(computing) event_(philosophy) philosophy building house home Structure residential_building geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	2	3	0	56	9	1	1
1489740531	Anna, Annozero e Villa Sant'Angelo: morti e paesi dimenticati del terremoto in Abruzzo http://tinyurl.com/daczr9 Indian_monetary_unit anna Pakistani_monetary_unit Indian_rupee talk_show AnnoZero country_house villa house house commune_of_Romania Șanț spiritual_being angel mythic_humanoid being spirit change death biology faith being property process_(computing) event_(philosophy) philosophy administrative_division country region Administrative_divisions_of_Germany Federal_republic Federated_state geography geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2009_L'Aquila_earthquake Italian_region Abruzzi_e_Molise Geographical_feature	8	2	0	112	18	0	1
204074165022629888	danni per il #terremoto ad una torre del castello di Ferrara change damage geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography structure tower architectural_structure Structure building castle fortification architectural_engineering castle Castello_Estense Structure metropolis Ferrara City comune provincial_capital	5	1	0	60	11	1	1
204097797224546305	Terremoto in Emilia Romagna 3 morti a Ferrara, uno a Bologna - Quotidiano Net: geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2012_Northern_Italy_earthquakes Historical_region Emilia_(region_of_Italy) Italian_region Emilia-Romagna Historical_region Romagna change death biology faith being property process_(computing) event_(philosophy) philosophy press newspaper mass_media periodical publication	7	1	1	78	13	0	1
520347159682895872	Una vittima accertata in via Canevari a #Genova. #alluvione2014 #allertameteoLG unfortunate victim	6	3	0	79	10	3	1
204055052053266432	#terremoto un disperso tra gli operai di Bondeno (fonte: rainews) geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography laggard straggler working_man laborer profession Bondeno_(Gonzaga) administrative_body authority organization room area	5	1	0	65	10	1	1
1468626348	Due forti scosse di terremoto pochi minuti fa a L'Aquila- Italy.Dagli edifici gia' danneggiati si sono staccati calcinacci. Ulteriore panico strong move_back_and_forth rock geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography unit_of_time minute unit execute bird_of_prey eagle Common_name name structure building house technology architecture architectural_structure Structure construction scrap debris Garbage_(band)	8	3	1	140	22	0	1
204058686811938816	Trovato morto l'operaio di bondeno #terremoto remuneration found dead working_man laborer profession employee line_worker Bondeno_(Gonzaga) geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	2	3	0	45	7	1	1
204115305679687680	Terremoto in Emilia Romagna stiamo vicini a queste 4 famiglie più 1 disperso &lt;3 :( geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2012_Northern_Italy_earthquakes Historical_region Emilia_(region_of_Italy) Italian_region Emilia-Romagna Historical_region Romagna hold_out stand close social_group family clan person people again laggard straggler	6	2	0	86	15	0	1
1464625693	Terremoto a L'Aquila: decine le vittime e migliaia gli sfollati: Ore 20.58 - Si continua a scavare tra le macerie alla... http://is.gd/r14V geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography bird_of_prey eagle Common_name name large_indefinite_amount oodles unfortunate victim large_integer 1000 integer number Hyperperfect_number refugee displaced_person legal_entity unit_of_time hour unit speak go_on core_out dig scrap debris Garbage_(band)	8	3	1	139	26	0	1
1461826567	Terremoto Abruzzo - carabinieri, 20 vittime: E' salito a 20 il bilancio delle vittime del terremoto che ha colpi.. http://tinyurl.com/dlljmh geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography Italian_region Abruzzi_e_Molise Geographical_feature soldier carabinier rifleman unfortunate victim record balance_sheet document document document document process_(computing) unfortunate victim geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography impact bump	9	3	1	140	22	0	1
204210692545445888	Oddio ho appena visto in diretta il crollo di una casa! D:#Terremoto barely call see television_program Live_television television happening crash building house home Structure residential_building geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	3	2	0	68	13	0	1
204054000465752064	#terremoto: danni a castello s.felice #Panaro geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography change damage building castle fortification architectural_engineering	4	3	0	45	7	2	1
204172384972972032	4 morti in emilia e torna la paura #terremoto change death biology faith being property process_(computing) event_(philosophy) philosophy asterid_dicot_genus Emilia genus taxon move return emotion fear geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	3	2	0	45	9	1	1
521595689856696320	ci sono anche loro...#alluvionegenova mentre lo scemo (di genova) e i suoi adepti forse vanno martedì...deficenti.. http://t.co/b0ZyIOY9Fx decrease decline person maven expert terminology leave go weekday Tuesday day_of_the_week	3	5	3	139	22	0	1
204051597142142976	“danni a Ferrara” e come al solito fraintendo. Ah, l'ottimismo… #terremoto #ciccione cost price quantity tradition habit construe misconstrue hope optimism geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	4	3	0	90	13	2	1
204220265327116289	nel #terremoto a crollare i vecchi edifici e ...i capannoni industriali.... geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography drop slump old structure building house technology architecture architectural_structure Structure construction outbuilding shed architectural_engineering industrial	3	2	0	75	11	1	1
1464262124	Reading: Terremoto in Abruzzo: oltre 150 morti I feriti sono 1.500, 100 mila gli sfollati  Corriere della Sera ( http://tinyurl.com/d9pef5 ) κατάλογος_κωμοπόλεων_στο_Ηνωμένο_Βασίλειο Reading Unitary_authority Unitary_authorities_of_England town geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2009_L'Aquila_earthquake Italian_region Abruzzi_e_Molise Geographical_feature change death biology faith being property process_(computing) event_(philosophy) philosophy people wounded refugee displaced_person legal_entity vehicle coach public_transport road_vehicle motor_vehicle horse-drawn_vehicle daytime evening Tageszeit song hymn	9	2	0	140	23	0	1
204140127310712832	Ene. Ora i morti sono 6 #terremoto compass_point east_northeast change death biology faith being property process_(computing) event_(philosophy) philosophy geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	1	3	0	34	7	1	1
1467287271	Terremoto in Abruzzo, morte e distruzione: oltre 150 vittime: Migliaia feriti-sfollati,soccorsi all'opera.Polemi.. http://tinyurl.com/cpt46t geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2009_L'Aquila_earthquake Italian_region Abruzzi_e_Molise Geographical_feature change death biology faith being property process_(computing) event_(philosophy) philosophy character Destruction_(DC_Comics) unfortunate victim large_integer 1000 integer number Hyperperfect_number care nurse	10	2	0	140	20	0	1
1461611153	@alessandro_g  #terremoto Gratsi geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	2	1	0	32	3	1	1
520495330698469376	Non ho parole..ogni volta ci deve essere un morto prima di parlare di allerta meteo.. #AlluvioneGenova language word language_unit acoustic_wave morpheme Portuguese linguistics dictionary_entry set chemical_element be owe people dead communicate speak preparation alert meteo	6	4	1	102	17	1	1
204058625952587776	Un morto a Bondeno #terremoto people dead Bondeno_(Gonzaga) geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	2	1	0	29	5	1	1
204144175426441217	Casa Camonchia i danni da #terremoto #bologna http://t.co/6ufJDOUI building house home Structure residential_building change damage geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography metropolis Bologna comune College_town City	4	2	0	66	11	2	1
1461532581	forte scossa di terremoto in abruzzo..fino ad ora il bilancio è di 20 morti. strong reflex shock geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2009_L'Aquila_earthquake yet record balance_sheet document document document document process_(computing) change death biology faith being property process_(computing) event_(philosophy) philosophy	5	1	0	77	14	0	1
204058948389711873	Rainews24 e Sky confermano: morto l'operaio di Bondeno #terremoto :( support people dead working_man laborer profession employee line_worker Bondeno_(Gonzaga) geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	4	4	0	68	10	1	1
204087321744769026	è crollato il campanile di tutti i paesi limitrofi compreso il mio #terremoto change dilapidate tower bell_tower administrative_division country region Administrative_divisions_of_Germany Federal_republic Federated_state geography neighboring include embrace geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography	2	3	1	78	12	1	1
1468273228	Terremoto in Abruzzo: 179 mortie 34 dispersi. geological_phenomenon earthquake geophysics energy natural_disaster geology phenomenon oscillation astronomy 2010_Haiti_earthquake geography earthquake 2009_L'Aquila_earthquake Italian_region Abruzzi_e_Molise Geographical_feature laggard straggler	4	0	0	45	7	0	1
